distribution,n,ecdf_max_error,density_mse
Normal N(0,1),20,0.1300112640,0.0010998690
Normal N(0,1),60,0.1089161239,0.0015451778
Normal N(0,1),100,0.1216325738,0.0009835623
Cauchy C(0,1),20,0.1338301938,0.0040958278
Cauchy C(0,1),60,0.0867013119,0.0048302776
Cauchy C(0,1),100,0.0579819918,0.0027880491
Laplace L(0, 1/sqrt(2)),20,0.1141763883,0.0015833765
Laplace L(0, 1/sqrt(2)),60,0.1287487982,0.0065028834
Laplace L(0, 1/sqrt(2)),100,0.0676321754,0.0008010456
Poisson P(5),20,0.0819063653,0.0021153051
Poisson P(5),60,0.0347603014,0.0001178439
Poisson P(5),100,0.0478165370,0.0006784084
Uniform U(-sqrt(3), sqrt(3)),20,0.1697706160,0.0031656371
Uniform U(-sqrt(3), sqrt(3)),60,0.1337156400,0.0023413402
Uniform U(-sqrt(3), sqrt(3)),100,0.0512895209,0.0020031745
